[DEBUG][generate_game_summary] Rounds data keys: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204]
[DEBUG][generate_game_summary] Round 0: ['game_state']
[DEBUG][generate_game_summary] Round 1: ['round', 'apple_position', 'game_state', 'planned_moves']
[DEBUG][generate_game_summary] Round 2: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 3: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 4: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 5: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 6: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 7: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 8: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 9: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 10: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 11: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 12: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 13: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 14: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 15: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 16: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 17: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 18: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 19: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 20: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 21: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 22: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 23: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 24: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 25: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 26: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 27: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 28: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 29: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 30: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 31: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 32: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 33: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 34: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 35: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 36: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 37: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 38: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 39: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 40: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 41: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 42: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 43: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 44: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 45: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 46: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 47: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 48: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 49: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 50: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 51: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 52: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 53: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 54: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 55: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 56: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 57: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 58: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 59: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 60: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 61: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 62: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 63: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 64: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 65: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 66: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 67: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 68: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 69: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 70: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 71: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 72: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 73: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 74: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 75: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 76: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 77: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 78: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 79: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 80: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 81: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 82: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 83: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 84: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 85: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 86: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 87: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 88: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 89: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 90: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 91: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 92: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 93: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 94: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 95: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 96: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 97: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 98: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 99: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 100: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 101: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 102: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 103: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 104: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 105: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 106: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 107: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 108: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 109: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
